metric,count,mean,median,std,min,max,p10,p25,p75,p90,zero_fraction,one_fraction
no_at_fault_collisions,12146,0.989255722048411,1.0,0.10179446826439825,0.0,1.0,1.0,1.0,1.0,1.0,0.010209122344804873,0.9887205664416269
drivable_area_compliance,12146,0.9846039848509798,1.0,0.12312686966174084,0.0,1.0,1.0,1.0,1.0,1.0,0.015396015149020253,0.9846039848509798
ego_progress,12146,0.8698731942503152,0.9447903585471911,0.19669970792304292,0.0,1.0,0.6606790479513766,0.8097002294660481,1.0,1.0,0.0253581425983863,0.4065535978923102
time_to_collision_within_bound,12146,0.9660793676930677,1.0,0.18103237622715188,0.0,1.0,1.0,1.0,1.0,1.0,0.033920632306932326,0.9660793676930677
comfort,12146,0.9998353367363741,1.0,0.012831590139746113,0.0,1.0,1.0,1.0,1.0,1.0,0.00016466326362588507,0.9998353367363741
driving_direction_compliance,12146,0.967149678906636,1.0,0.15674559813495517,0.0,1.0,1.0,1.0,1.0,1.0,0.01844228552609913,0.952741643339371
score,12146,0.9212504641858071,0.9736068733899823,0.17153992438422544,0.0,1.0,0.8403987984028384,0.914979351851405,1.0,1.0,0.0253581425983863,0.3942861847521818
