metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high,slice_name,slice_value,num_scenes
delta_score,1914,-0.0006412858819409359,0.0,0.1670230499804036,-1.0,-0.035240712000608,-0.01122567404623459,0.01656929421670328,0.04205268122653164,1.0,0.4508881922675026,0.18025078369905956,0.36886102403343785,-0.00851812522188194,0.0068215932056959255,map_name,sg-one-north,1914
delta_oracle_score,1914,-0.0007970002961467801,0.0,0.028125076422707153,-0.7705471765397093,-0.00025184348124046536,0.0,0.0,0.003857488637913501,0.41666666666666663,0.1238244514106583,0.774294670846395,0.10188087774294671,-0.0021010726721790328,0.0003838331834801146,map_name,sg-one-north,1914
delta_ranking_ability,1914,0.00015571441420584353,0.0,0.16595906570909336,-1.0,-0.037345760463981297,-0.011850428757893341,0.01823136774377066,0.045171943452488914,1.0,0.4540229885057471,0.17398119122257052,0.3719958202716823,-0.0073186221822694845,0.0075705297659858905,map_name,sg-one-north,1914
delta_selected_no_at_fault_collisions,1914,-0.0013061650992685476,0.0,0.07318722129457886,-1.0,0.0,0.0,0.0,0.0,1.0,0.0020898641588296763,0.9942528735632183,0.0036572622779519333,-0.004702194357366771,0.0020898641588296763,map_name,sg-one-north,1914
delta_selected_drivable_area_compliance,1914,-0.0005224660397074191,0.0,0.16327713770713892,-1.0,0.0,0.0,0.0,0.0,1.0,0.013061650992685475,0.9733542319749217,0.013584117032392894,-0.007836990595611285,0.006792058516196447,map_name,sg-one-north,1914
delta_selected_ego_progress,1914,0.0049913306664932135,0.0,0.15981022985634594,-1.0,-0.07951363286684876,-0.025452427921989013,0.04031326575404778,0.1005262606112387,1.0,0.45245559038662486,0.18443051201671892,0.36311389759665624,-0.0025573727421569457,0.01202967273630205,map_name,sg-one-north,1914
delta_selected_time_to_collision_within_bound,1914,-0.004702194357366771,0.0,0.13125650408455,-1.0,0.0,0.0,0.0,0.0,1.0,0.006269592476489028,0.9827586206896551,0.0109717868338558,-0.01044932079414838,0.0010449320794148381,map_name,sg-one-north,1914
delta_selected_comfort,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,map_name,sg-one-north,1914
delta_selected_driving_direction_compliance,1914,-0.0018286311389759666,0.0,0.11372971643747307,-1.0,0.0,0.0,0.0,0.0,1.0,0.01567398119122257,0.9655172413793104,0.018808777429467086,-0.006792058516196447,0.003134796238244514,map_name,sg-one-north,1914
delta_score,3731,-0.0012114423304730726,0.0,0.16944165659309934,-1.0,-0.02970851199934066,-0.0031138014211061216,0.012702305927775603,0.03211962743601937,1.0,0.3803269900830876,0.33771106941838647,0.28196194049852585,-0.006696563756956167,0.004126329305000231,map_name,us-ma-boston,3731
delta_oracle_score,3731,-0.0017471836677520655,0.0,0.051487038713198534,-1.0,0.0,0.0,0.0,0.0,1.0,0.06673813990887162,0.8673277941570624,0.06593406593406594,-0.0035015614789971196,-0.00018446810914312135,map_name,us-ma-boston,3731
delta_ranking_ability,3731,0.0005357413372789931,0.0,0.17306003574579354,-1.0,-0.02963600725555529,-0.0038480681593894978,0.012746288379920003,0.033860288373153094,1.0,0.37603859555079067,0.3339587242026266,0.2900026802465827,-0.0051551285059463405,0.005820731575050764,map_name,us-ma-boston,3731
delta_selected_no_at_fault_collisions,3731,0.00013401232913428035,0.0,0.11721744075255125,-1.0,0.0,0.0,0.0,0.0,1.0,0.0075046904315197,0.9852586437952292,0.007236665773251139,-0.0036183328866255695,0.0038863575448941303,map_name,us-ma-boston,3731
